,host_is_superhost,zipcode,bathrooms,bedrooms,beds,bed_type_Real Bed,bed_type_Futon,bed_type_Couch,bed_type_Pull-out Sofa,bed_type_Airbed,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,has_availability_1,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable_1,instant_bookable_0,cancellation_policy_strict_14_with_grace_period,cancellation_policy_moderate,cancellation_policy_flexible,cancellation_policy_super_strict_60,cancellation_policy_super_strict_30,cancellation_policy_strict,require_guest_profile_picture_0,require_guest_profile_picture_1,require_guest_phone_verification_0,require_guest_phone_verification_1,calculated_host_listings_count,reviews_per_month,latitude,longitude,host_days,first_review_days,last_review_days,avg_price
851,1.0,98122.0,1.0,1.0,1.0,1,0,0,0,0,100.0,0.0,75.0,1,40.0,1,1000,1,30,60,72,72,9,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,1,0,0,0,0,0,1,0,1,0,8,1.73,47.604729999999996,-122.31166,2016.0,153.0,87.0,139.88920725883477
852,1.0,98122.0,1.0,1.0,1.0,1,0,0,0,0,75.0,0.0,15.0,1,10.0,1,4,1,6,6,6,6,7,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,0,1,0,0,0,0,1,0,1,0,1,1.17,47.61701,-122.31576000000001,1120.0,176.0,39.0,139.88920725883477
853,0.0,98122.0,1.0,0.0,2.0,1,0,0,0,0,130.0,0.0,40.0,2,10.0,1,1125,1,9,30,60,319,41,96.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,0,1,0,0,0,0,1,0,1,0,3,8.91,47.619009999999996,-122.32508999999999,1651.0,135.0,10.0,139.88920725883477
854,1.0,98122.0,2.0,2.0,2.0,1,0,0,0,0,150.0,500.0,410.0,1,0.0,30,1125,1,0,19,49,324,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0,0,0,0,0,1,1,0,1,0,237,1.0,47.61088,-122.34593999999998,1479.0,442.0,4.0,139.88920725883477
855,1.0,98122.0,1.5,2.0,2.0,1,0,0,0,0,176.0,500.0,385.0,1,0.0,30,1125,1,30,60,90,365,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0,0,0,0,0,1,1,0,1,0,237,1.0,47.612429999999996,-122.345,1479.0,442.0,4.0,139.88920725883477
856,1.0,98122.0,1.0,1.0,1.0,1,0,0,0,0,113.0,500.0,300.0,1,0.0,30,1125,1,7,37,67,342,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0,0,0,0,0,1,1,0,1,0,237,1.0,47.611540000000005,-122.34593999999998,1479.0,442.0,4.0,139.88920725883477
857,1.0,98122.0,1.0,0.0,1.0,1,0,0,0,0,100.0,500.0,300.0,1,0.0,30,1125,1,0,0,19,294,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0,0,0,0,0,1,1,0,1,0,237,1.0,47.633109999999995,-122.32611000000001,1479.0,25.0,27.0,139.88920725883477
858,1.0,98122.0,1.0,0.0,1.0,1,0,0,0,0,80.0,0.0,40.0,1,0.0,2,14,1,7,16,42,214,42,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,0,0,1,0,0,0,1,0,1,0,1,7.41,47.608990000000006,-122.29841,1305.0,167.0,2.0,139.88920725883477
859,0.0,98122.0,3.0,1.0,1.0,1,0,0,0,0,125.0,0.0,0.0,1,7.0,30,180,1,20,50,80,170,3,87.0,9.0,9.0,9.0,9.0,9.0,8.0,0,1,1,0,0,0,0,0,1,0,1,0,12,0.57,47.6183,-122.30797,2087.0,156.0,88.0,139.88920725883477
860,1.0,98122.0,1.0,1.0,1.0,1,0,0,0,0,51.0,0.0,20.0,2,25.0,1,100,1,12,17,33,33,34,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0,1,0,0,0,0,1,0,1,0,1,11.86,47.65636,-122.39691,1906.0,83.0,4.0,139.88920725883477
